"","YEAR","CVEGEO","num_tomas","tomas","num_cartels","menciones_huachicol","carteles_huachicol","pobtot","pobhlindigena","pobanalf","gradoescolar","HomX100","ESTADO","mun_huachicolero","YearFirst","diffYears","lead1","lead2","lead3","lag0","lag1","lag2","lag3","lag4","lag5","lag6","lag7","lag8","lag9","ENT","is_neighbor","treated","post","consecutive_cartel","log_hom"
"1",2007,2003,0,0,2,0,0,95052,0.0117780083478708,0.0313945056880131,8.518,26.3013929217691,2,0,2008,-1,"True","False","False","False","False","False","False","False","False","False","False","False","False",2,NA,1,0,0,3.30693772366472
"2",2008,2003,5,1,1,0,0,97061,0.0108025392269878,0.0290789315954528,8.642,51.5139963528091,2,1,2008,0,"False","False","False","True","False","False","False","False","False","False","False","False","False",2,NA,1,1,0,3.96107973126322
"3",2009,2003,4,1,4,0,0,99070,0.0098270701061047,0.0267633575028926,8.766,77.7228222468961,2,1,2008,1,"False","False","False","False","True","False","False","False","False","False","False","False","False",2,NA,1,1,0,4.36593310381496
"4",2010,2003,3,1,3,0,0,101079,0.0088516009852216,0.0244477834103323,8.89,31.6584058014029,2,1,2008,2,"False","False","False","False","False","True","False","False","False","False","False","False","False",2,NA,1,1,0,3.48610227439148
"5",2011,2003,13,1,4,0,0,101344.4,0.0091535761223082,0.0241761383013177,9.67720958171446,38.4826393959607,2,1,2008,3,"False","False","False","False","False","False","True","False","False","False","False","False","False",2,NA,1,1,0,3.67586106633168
"6",2012,2003,34,1,3,0,0,101609.8,0.0094555512593948,0.0239044931923031,10.4644191634289,17.71482671947,2,1,2008,4,"False","False","False","False","False","False","False","True","False","False","False","False","False",2,NA,1,1,0,2.92931608240196
"7",2013,2003,32,1,2,0,0,101875.2,0.0097575263964814,0.0236328480832885,11.2516287451434,25.5214222892323,2,1,2008,5,"False","False","False","False","False","False","False","False","True","False","False","False","False",2,NA,1,1,0,3.27795279469528
"8",2014,2003,82,1,2,0,0,102140.6,0.010059501533568,0.0233612029742739,12.0388383268578,18.6018096623674,2,1,2008,6,"False","False","False","False","False","False","False","False","False","True","False","False","False",2,NA,1,1,0,2.97562189168697
"9",2015,2003,98,1,3,0,0,102406,0.0103614766706545,0.0230895578652593,12.8260479085723,14.6475792434037,2,1,2008,7,"False","False","False","False","False","False","False","False","False","False","True","False","False",2,NA,1,1,0,2.75031622408916
"10",2016,2003,73,1,3,0,0,103612.8,0.009652544699887,0.0223143987302715,12.2188383268578,53.0822446647518,2,1,2008,8,"False","False","False","False","False","False","False","False","False","False","False","True","False",2,NA,1,1,0,3.99050593724819
